CANCION,MIEMBRO,LINEA
Resonance,Taeyong,Me you urin yeogil tteonaryeo hae ppalli olla ta maeumeun gateun gose
Resonance,Jaehyun,jayurobge come join me sumyeon wiro kkumeul pyeolchyeo boiji
Resonance,Doyoung,"Let's start, we gon' fly. We won't stop, it's alright"
Resonance,Jeno,"Gan jeok eomneun gongganui uimi seoroui jonjaereul neukkyeo, 90's love"
Resonance,Jaemin,We got this oneuldo yeogin uriga chajihae baek peuro
Kick It,Mark,Got that drip heulleoneomchyeo guts Ileobeorin geop eodiseodeun make it poppin' keep it movin’ (Move) like Jeet Kune
Kick It,Johnny,Sseureotteuryeo hanassig blows away jabineun eopji ruthless
Kick It,Haechan,Comin' up jigeum yeogiro baby i neukkimeun ihae mos hae meoriron
Sticker,Jungwoo,"You treat me like a boy, kkumeul jonneun eoreun aicheoreom mariya"
Sticker,Yuta,Geokjeonghaji malgo geunyang pak pak mideo neoman geuraedo dwae
Baggy Jeans,Taeyong,Nan jigeum mwosideunhaenael geot gateun gibuniya
Baggy Jeans,Mark,"Mugen naerigo, sky high attitude go with my crew, kkeureoolliji nae bajichum"
Chewing Gum,Renjun,"Gonggiga deureogan deut galsurok keojyeoga, nae maeumi neoro gadeuk chaewojin geot gata"
Chewing Gum,Chenle,"Yeoksi neol chajanaegi eoryeopji anasseo, geureonde hwanaegien neomuna yeppeun neo"
Hot Sauce,Jisung,Nae bibeobеun saekdareun spicy saljjangman seuchyeodo jeongsineopji
Hot Sauce,Haechan,Chatge doel geol every day Jungdokdwae imi neon ne mameul deo seokkeonwa gyesok wonhage dwae
Candy,Renjun,Geureochiman neol sarang anneun ge anya ijeneun nareul byeonhwasikil tenikka
Candy,Jeno,"Neo mollae, mollae, mollae dareun yeojadeulgwa bigyo bigyohaetji"
Kick Back,Ten,Dang pan xuan de mu guang rou he in my zone ji ke shi fang suo you kun bang
Kick Back,Yangyang,Kua yue shi jian wei du xian shi chou li Keep roll sui xing wo de jiao bu bu bei ju shu de Flow
Love Talk,Xiaojun,"Baby, we two distant strangers I know you don’t speak my language but I love the way she’s talking to me"
Love Talk,Winwin,"Ooh, tell me, babe, Tell me how you like it, babe I don’t even know your name"
Turn Back Time,Kun,de wu jiang tian wu jie if we could turn back time
Turn Back Time,Hendery,yao ji xu ji xu chao pin jie kai mi mi shi jian de mian mu ruo chai chuan I see the face of vision
WISH,Sion,Neul barawatdeon jageun sowon nega haengbokaesseumyeon jokesseo
WISH,Ryo,"Ne useumgwa, nunmulgwa modeun geotdeuri sojunghae"
Poppop,Sakuya,Kimi no iro kawaranai you ni One time mitsumete itai
Poppop,Yushi,Kyou dake hiraku candy store matte ita yo sou kimi o Fuwari kumo wataame to Yasashisa fukuramasou
Boy Meets Love,Jaehee,Anata to sugoshita hi wa Nijuuisseiki de saikou no dekigoto
Boy Meets Love,Riku,"Yeah, kimi no te wo tori here we go Sagasu one love (Love) Itsudemo issho hanarenai yo I wanna be yours"
